,Date,Tour,Code département,département,Blancs et nuls,Exprimés,Inscrits,Votants,Abstention,Votants (%),Abstention (%),Année
0,1965-12-05,1.0,1,AIN,1431.0,165555.0,206496.0,166986.0,39510.0,80.87,19.13,1965
1,1965-12-05,1.0,10,AUBE,1435.0,130280.0,153423.0,131715.0,21708.0,85.85,14.15,1965
2,1965-12-05,1.0,11,AUDE,2096.0,146993.0,173977.0,149089.0,24888.0,85.69,14.31,1965
3,1965-12-05,1.0,12,AVEYRON,2189.0,157076.0,189045.0,159265.0,29780.0,84.25,15.75,1965
4,1965-12-05,1.0,13,BOUCHES-DU-RHONE,5828.0,603841.0,750783.0,609669.0,141114.0,81.2,18.8,1965
5,1965-12-05,1.0,14,CALVADOS,2241.0,240368.0,281587.0,242609.0,38978.0,86.16,13.84,1965
6,1965-12-05,1.0,15,CANTAL,667.0,85972.0,110678.0,86639.0,24039.0,78.28,21.72,1965
7,1965-12-05,1.0,16,CHARENTE,1810.0,172038.0,206323.0,173848.0,32475.0,84.26,15.74,1965
8,1965-12-05,1.0,17,CHARENTE-MARITIME,2424.0,235817.0,290581.0,238241.0,52340.0,81.99,18.01,1965
9,1965-12-05,1.0,18,CHER,1594.0,154287.0,186105.0,155881.0,30224.0,83.76,16.24,1965
10,1965-12-05,1.0,19,CORREZE,1115.0,134255.0,161901.0,135370.0,26531.0,83.61,16.39,1965
11,1965-12-05,1.0,2,AISNE,3084.0,250550.0,290750.0,253634.0,37116.0,87.23,12.77,1965
12,1965-12-05,1.0,20,CORSE,579.0,100038.0,178329.0,100617.0,77712.0,56.42,43.58,1965
13,1965-12-05,1.0,21,COTE-D'OR,1693.0,192050.0,232752.0,193743.0,39009.0,83.24,16.76,1965
14,1965-12-05,1.0,22,COTES-D'ARMOR,1728.0,280456.0,326726.0,282184.0,44542.0,86.37,13.63,1965
15,1965-12-05,1.0,23,CREUSE,769.0,84699.0,113157.0,85468.0,27689.0,75.53,24.47,1965
16,1965-12-05,1.0,24,DORDOGNE,2482.0,214061.0,253060.0,216543.0,36517.0,85.57,14.43,1965
17,1965-12-05,1.0,25,DOUBS,1539.0,189176.0,219965.0,190715.0,29250.0,86.7,13.3,1965
18,1965-12-05,1.0,26,DROME,1499.0,161411.0,195367.0,162910.0,32457.0,83.39,16.61,1965
19,1965-12-05,1.0,27,EURE,1907.0,185157.0,214077.0,187064.0,27013.0,87.38,12.62,1965
20,1965-12-05,1.0,28,EURE-ET-LOIR,1743.0,148180.0,173875.0,149923.0,23952.0,86.22,13.78,1965
21,1965-12-05,1.0,29,FINISTERE,1923.0,418689.0,495023.0,420612.0,74411.0,84.97,15.03,1965
22,1965-12-05,1.0,3,ALLIER,2154.0,202388.0,244364.0,204542.0,39822.0,83.7,16.3,1965
23,1965-12-05,1.0,30,GARD,2492.0,234100.0,279277.0,236592.0,42685.0,84.72,15.28,1965
24,1965-12-05,1.0,31,HAUTE-GARONNE,3624.0,321180.0,387132.0,324804.0,62328.0,83.9,16.1,1965
