product-company-id,product-id,gtin,label,company-id,internal-reference,cat-id,brand_internal_reference,scraped_brand_name,last_recommended_price,last-original-price,min_price_in_store,max_price_in_store,avg_price_in_store,stddev_price_in_store,discount,creation_date,last-update-date,url,ranking,ratings_stars,rating_count,picture_url,company_stock,avg_stock_in_store,company_presence,company_to_order,company_out_of_stock,company_soon_available,stddev_stock_in_store
0 001 107 5402743,0,3165143408988.0,BOSCH Démarreur,2743,0 001 107 540,,,BOSCH,167.84,226.81,,,,,1,2020-05-11,2020-05-11 00:00:00,https://www.auto-doc.fr/bosch/7477536,1464,4,,https://cdn.autodoc.de/thumb?id=7477536&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 001 110 1062743,0,,BOSCH Démarreur,2743,0 001 110 106,,,BOSCH,489.49,652.65,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144341,17,3,,https://cdn.autodoc.de/thumb?id=1144341&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 110 1222743,0,,BOSCH Démarreur,2743,0 001 110 122,,,BOSCH,206.83,275.77,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144347,9,3,,https://cdn.autodoc.de/thumb?id=1144347&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 110 1262743,0,3165142706368.0,BOSCH Démarreur,2743,0 001 110 126,,,BOSCH,399.53,532.7,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/7289447,48,3,,https://cdn.autodoc.de/thumb?id=7289447&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 110 1282743,0,3165142960036.0,BOSCH Démarreur,2743,0 001 110 128,,,BOSCH,354.74,472.99,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/7289446,19,3,,https://cdn.autodoc.de/thumb?id=7289446&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 110 1362743,0,3165143595381.0,BOSCH Démarreur,2743,0 001 110 136,,,BOSCH,314.51,419.34,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144354,30,3,,https://cdn.autodoc.de/thumb?id=1144354&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 110 1382743,0,3165143582091.0,BOSCH Démarreur,2743,0 001 110 138,,,BOSCH,156.89,209.19,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144355,4,5,,https://cdn.autodoc.de/thumb?id=1144355&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 123 0122743,0,,BOSCH Démarreur,2743,0 001 123 012,,,BOSCH,141.67,188.89,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144441,13,5,1.0,https://cdn.autodoc.de/thumb?id=1144441&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 001 123 0142743,0,,BOSCH Démarreur,2743,0 001 123 014,,,BOSCH,138.84,185.12,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144442,4,4,,https://cdn.autodoc.de/uploads/360_photos/1144442/preview.jpg,,,0,0,0,0,
0 001 123 0162743,0,,BOSCH Démarreur,2743,0 001 123 016,,,BOSCH,138.84,185.12,,,,,1,2020-05-13,2020-05-13 00:00:00,https://www.auto-doc.fr/bosch/1144443,21,4,,https://cdn.autodoc.de/thumb?id=1144443&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
